q_no,choice_no,choice_tag,choice_label,choice_description
1,1,定量成果,高い目標数字を継続的に達成,高い目標数字を継続的に達成し、社内表彰や高い達成率を記録した
1,2,他者貢献/組織貢献,顧客の潜在課題を深く理解,顧客の潜在課題を深く理解し、厚い信頼関係を築くことで継続受注に繋げた
1,3,改善/仕組化,属人的だった営業手法を型化,属人的だった営業手法を型化・マニュアル化し、チームの成約率を向上させた
1,4,創造/ゼロイチ,新規マーケットの開拓,新規マーケットの開拓や、これまでにない新しい販売手法を自ら立案・実行した
1,5,専門性/スキルアップ,特定の業界知識や製品知識を極め,特定の業界知識や製品知識を極め、高度な提案を実現した
2,1,定量成果,厳しい目標を達成し介在価値が証明,厳しい目標を達成し、自分の介在価値が数字で証明された時
2,2,他者貢献/組織貢献,顧客から深く信頼された時,顧客から「あなたにお願いして良かった」と深く信頼された時
2,3,改善/仕組化,チーム全体の底上げに繋がった時,自分の成功パターンが共有され、チーム全体の底上げに繋がった時
2,4,創造/ゼロイチ,自分だけの勝ち筋を見つけた時,前例のない手法を試し、自分だけの勝ち筋を見つけ出した時
2,5,専門性/スキルアップ,高度な戦略提案ができた時,業界のプロとして、顧客も気づかない高度な戦略提案ができた時
3,1,成長・挑戦,スキルの向上と難題への挑戦,スキルの向上と難題への挑戦
3,2,裁量・自律,個人の裁量と意思決定,個人の裁量と意思決定
3,3,報酬・評価,経済的報酬と正当な評価,経済的報酬と正当な評価
3,4,他者貢献・文化,チームワークと心理的安全,チームワークと心理的安全
3,5,柔軟性・調和,ワークライフバランス,ワークライフバランス
4,1,専門追求,スペシャリスト,スペシャリスト
4,2,価値創造,イノベーター,イノベーター
4,3,組織牽引,マネージャー,マネージャー
4,4,事業推進,ビジネスマネージャー,ビジネスマネージャー
4,5,他者貢献,パートナー,パートナー
