vision_id,vision_category,vision_position,vision_title,vision_description
1,経営・事業戦略,CEO,CEOとして企業のビジョンと戦略を策定し、企業価値を最大化する,"市場規模や変化への深い理解から、持続可能な成長を実現する。経営戦略を立案し、全社的な意思決定を担い、サービス・人事組織・マーケティングを統合した企業経営を行う。"
2,経営・事業戦略,COO,COOとして事業運営を担い、企業価値の向上を実現する,"CEOと連携して経営戦略を策定し、実行や運営において中核的役割を担う。各部門の戦略遂行をリードし、事業成長の安定化を担う。"
3,経営・事業戦略,事業責任者,事業の責任者としてPL責任を持ち、事業価値を最大化する,"企業の中核事業をグロースさせる責任者として、事業を統括し、サービスリリース、収益化、事業拡大までを一貫して主導する。"
4,営業・事業開発,BizDev（事業開発）,事業会社のBizDevとして、様々な手段を駆使しながら事業をリードする,"新規事業の立案にとどまらず、アライアンス構築、プロダクト推進といった幅広い領域をカバー。泥臭く行動し、会社に新しい収益を生み出す。"
5,営業・事業開発,トップセールス,トップセールスとして、営業活動における実績と品質の双方をリードする,"継続的にKPI達成率150%以上の高い実績を出し続けながら、いまだバリューチェーンが通っていない領域での成果創出を担う。"
6,営業・事業開発,営業部長,営業部長として、全社の売上構築をリードする,"全社の中長期的な売上利益最大化を担う。ターゲティングやチャネル設計など営業戦略を描き、営業組織の構築、育成、制度設計など人事領域も手掛けていく。"
7,マーケティング,CMO,CMOとして、全社的なマーケティング戦略をリードする,"ブランド戦略や顧客体験、自社のポジショニングを描き、マーケティングプロセス全体の構築や改善を担う。"
8,マーケティング,データサイエンティスト,データサイエンティストとして、戦略的なデータ活用をリードする,"データドリブンな提案で、意思決定プロセスを支える。統計解析やデータ基盤のプロとして、マーケ・組織構築などあらゆる領域に提案を手掛ける。"
9,マーケティング,ブランドマーケター,ブランドマーケターとして、ブランド戦略を推進する,"ブランド・エクイティの向上を目的に、ブランド施策を実行する。マスメディアからWeb施策まで多岐にわたり手掛ける。"
10,人事・組織開発,CHRO,CHROとして、事業成長を組織力で牽引する,"採用・育成・評価・報酬・配置・代謝という人事機能を束ね、組織人事戦略の策定から実行までを担い、経営目標の達成に貢献する。"
11,人事・組織開発,HRBP,経営者や事業責任者のビジネスパートナーとして、組織課題を解決する,"事業部と密接に連携し、組織のニーズを理解し、適切な人事施策を提案、実行する。戦略的パートナーとして事業目標達成に貢献する。"
12,プロダクト・開発,CPO,事業会社のCPOとして、プロダクトの持続的な成長をリードする,"プロダクトの最高責任者として経営方針を打ち出し、全体の事業計画の立案から実行推進までを担う。"
13,プロダクト・開発,プロダクトマネージャー,プロダクトマネージャーとして、プロダクト成長のための企画立案、実行を担う,"顧客課題の深堀りと市場分析を通じてプロダクトビジョンを策定し、開発・デザイン・営業等を巻き込み優れたUXを実現する。"
14,ファイナンス・投資,CFO,CFOとして、財務戦略を通じて企業価値最大化をリードする,"資金調達、財務戦略立案、IPO準備やM&Aを主導し、経営の守りと攻めを財務面から支える経営パートナーとなる。"
15,コンサルティング,戦略コンサルタント,戦略コンサルタントとして、クライアント企業の経営戦略を描く,"中長期計画策定、新規事業検討、M&A戦略策定を行い、全社方針を考え抜く。経営陣を相手に未来予想を提示し、勝ち筋を示す。"
16,エンジニア・製造,CTO,CTOとして、企業の技術戦略と中長期の競争力を牽引する,"技術投資・組織体制・人材育成における意思決定を担う。技術を起点に持続可能な事業成長を実現する技術経営者を目指す。"
17,エンジニア・IT,エンジニアリングマネージャー,エンジニアリングマネージャー（EM）として、開発組織の最大化を担う,"エンジニアの採用・育成・評価を行い、開発チームの生産性を向上させる。「人」と「組織」に向き合い、エンジニアが活躍できる環境を作る。"
18,エンジニア・IT,ITアーキテクト,システム全体の設計を担い、ビジネスとシステムを橋渡しするリーダーとなる,"事業戦略を理解し、最適なシステム構成を設計・推進する。技術選定から全体最適を実現する技術のスペシャリスト。"
19,エンジニア・IT,フルスタックエンジニア,フルスタックエンジニアとして、開発を一貫する,"フロントエンド・バックエンド双方の設計・実装に対応し、インフラ構築まで一貫して担う。技術選定にも携わり、開発をリードする。"
20,WLB,ライフイベント重視,ライフイベントに合わせて自分らしい働き方を実現できる,"自身のライフプランを洗い出し、取りたいタイミングでWLBを取得できるように、市場から求められるだけのスキルや経験を計画的に身に着けていく。"
